PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Small Business Improvement Fund,DPD,Economic Development,Various,35th Halsted,T-001,35th Halsted,T-001,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings and improve the,1500000,1500000,1,05/06/2020,Approved,
SBIF Ordinances 2024,DPD,Economic Development,,Hollywood Sheridan,T-157,Hollywood Sheridan,T-157,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
79th St. Streetscape (South Shore Park IS/W Corridor),CDOT,Public Infrastructure,1600-3132 East 79th St,Avalon Park South Shore,T-123,71st Stony Island,T-060,"ISW Corridor Streetscape consisting of infrastructure, pedestrian safety, and placemaking improvements with the goal of creating a unified, safe, and attractive commercial destination.",1753000,31000000,0.06,05/08/2023,Approved,POINT (-87.58509 41.7515)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Kennedy Kimball,T-160,Kennedy Kimball,T-160,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Small Business Improvement Fund,DPD,Economic Development,Various,95th Western,T-009,95th Western,T-009,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,500000,1,10/20/2020,Approved,
Washington Street Bridge Replacement: Design/Environmental,CDOT,Public Infrastructure,350-400 W Washington Blvd,Lasalle Central,T-147,Lasalle Central,T-147,Design/Environmental work for reconstruction of Washington Street bridge.,4750000,4750000,1,10/01/2019,Approved,POINT (-87.63883 41.88321)
Peterson/Pulaski Lighting,CDOT,Public Infrastructure,3900-4000  West Devon Av; 4000-4200  West Peterson Av,Peterson Pulaski,T-091,Peterson Pulaski,T-091,LED Ornamental Smart Street Lighting Retrofit,140000,140000,1,03/23/2021,Approved,
Western Avenue Corridor Development Opportunities Analysis,DPD,Planning and Administration,3600-7578  North Western Av,Devon Western,T-076,Devon Western,T-076,Real estate market demand analysis for development opportunities following the Western Avenue Corridor Study.,20000,80000,0.25,02/28/2023,Approved,POINT (-87.69065 42.01919)
4330 S Vernon Alley Reconstruction,CDOT,Public Infrastructure,4300-4400  South Vernon Av,47th King,T-118,47th King,T-118,"The purpose of this project is to reconstruct the alley bound by E. 43rd Street (N); E. 44th Street (S). N. S. Martin Luther King Drive (W); S. Vincennes Avenue (E) In order to alleviate the existing drainage issue at the alley and the private properties. The scope of work includes installation of catchbasins and storm sewer pipes, concrete",750000,750000,1,09/24/2024,Approved,POINT (-87.6153 41.81652)
Emmett Street Housing,DOH,Affordable Housing,2700 N Kedzie Ave,Fullerton/Milwaukee,T-087,Fullerton/Milwaukee,T-087,"New construction of a seven-story elevator building that will house 100 affordable one- to three-bedroom units, 20 parking spaces, and small commercial space on the ground floor.",10100000,39683408,0.26,11/05/2019,Approved,POINT (-87.7074 41.93038)
CPS Feasibility Study (Vacant Land),DPD,"Plans, Studies, and Administration",1418 South Kedzie Av,Midwest,T-095,Midwest,T-095,Consulting services needed to assist in developing an RFP to redevelop a vacant CPS owned property. Consultants will: Assist in Determining Scope of Work; Model Development Scenarios. Develop Concepts Renderings; Model Financial Projections.,100000,100000,1,12/15/2020,Under Further Review,POINT (-87.70554 41.86189)
Milwaukee Avenue Equitable Growth Plan,DPD,"Plans, Studies, and Administration",2000-5200 North Milwaukee Av,Jefferson Park,T-057,Jefferson Park,T-057,"Study and d evelop strategies for: preventing residential displacement, preserving historic structures and buildings, identifying affordable housing opportunities, and Improving the public way.",97000,600000,1,10/19/2021,Approved,POINT (-87.689 41.9178)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,71st Stony Island,T-060,71st Stony Island,T-060,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,74186,74186,1,04/07/2020,Approved,
Central Area Plan - Phase 2,DPD,Planning and Administration,Various,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,This will be a framework plan to set a new vision for Chicago's Central City to align with priorities and processes identified from We Will.,15090,500000,0.03,04/25/2023,Approved,
Stockyards Bank - Building Stabilization,AIS,Municipal Facilities,4146 S. Halsted St.,Stockyards Annex,T-043,Stockyards Annex,T-043,"Roof replacement, structural work, plumbing work, seepage repairs, stabilization work, engineering & best uses study.",2000000,2000000,1,10/01/2019,Approved,POINT (-87.64581 41.81912)
LISC Marketing Agreement,DPD,"Plans, Studies, and Administration",,Humboldt Park,T-108,Humboldt Park,T-108,Amend an original request of $4.515 million to include an additional $1.485 millon to match the $6 million request made to city council.  Project now involves LISC Chicago entering into a marketing aggreement with the city.,55319,6000000,0.25,04/20/2021,Approved,POINT (-87.63245 41.88425)
Six Corners Infrastructure Improvements,CDOT,Public Infrastructure,3900 - 4000 N Laramie Ave,Portage Park,T-058,Portage Park,T-058,"Sidewalk, curb and gutter, bump outs, street and alley resurfacing, and street lighting in Portage Park",75000,75000,1,12/03/2019,Approved,POINT (-87.7571 41.95158)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Greater SW Ind Corr West,T-092,Greater SW Ind Corr West,T-092,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1540000,1540000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Jose de Diego Community Academy Playground,CPS,Schools,2301  West Potomac Av,Humboldt Park,T-108,Humboldt Park,T-108,"New poured-in-place (PIP) rubber surface playground  and replace existing asphalt pavement areas with basketball and pickleball courts.  Project will include drainage infrastructure, stormwater detention system and miscellaneous site restoration.",1400000,1400000,1,01/23/2024,Approved,POINT (-87.6848 41.90488)
TIFWorks,DPD,Economic Development,Various,Fullerton/Milwaukee,T-087,Fullerton/Milwaukee,T-087,TIFWorks supports ongoing efforts of Chicago businesses to retain and train existing and or new workers.,75000,75000,1,11/05/2019,Approved,
Dett School Redevelopment Feasibility Study,DPD,Planning and Administration,Various,Central West,T-086,Central West,T-086,Funds are needed to prepare a study to assess the feasibility of redeveloping Dett Elementary.,350000,350000,1,04/25/2023,Approved,
First Nations Garden (NeighborSpace),DPD,Parks and Open Spaces,4555 North Pulaski Rd,Lawrence Pulaski,T-116,Lawrence Pulaski,T-116,Request for site prep and remediation funding as part of a larger Neighborspace Project.,350000,1116156,0.31,11/22/2022,Approved,POINT (-87.72791 41.96414)
Corridor Manager Program 2025,DPD,Economic Development,,West Woodlawn,T-171,West Woodlawn,T-171,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,33374,33374,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
Beverly Library- Renovations & Repairs,AIS,Municipal Facilities,1962 West 95th St,95th Western,T-009,95th Western,T-009,"LED Lighting, HVAC Upgrade, Upgrade Building Automation System (BAS) and Patch tuckpointing and other masonry work",415000,415000,1,06/28/2022,Approved,POINT (-87.6723 41.72114)
Southbridge Phase 1C - 9%,DOH,Affordable Housing,5 East 23rd St,24th Michigan,T-072,24th Michigan,T-072,"Southbridge 1C is the 3rd phase of redevelopment of the CHA Harold Ickes Homes community and is the new construction of a transit-served, high-rise mixed-use building at the southeast corner of 23rd St and State St with 80 totalstudio, one- and two-bedroom affordable and market-rate rental units and approx. 1,500 sf of ground-floor",11870154,48953873,0.24,12/17/2024,Approved,POINT (-87.62675 41.85106)
Dett ES - Masonry/Roof/Envelope,CPS,Schools,2131 W Monroe St,Central West,T-086,Central West,T-086,Provide a full roof replacement and targeted masonry repairs.,4600000,4600000,1,09/15/2020,Under Further Review,POINT (-87.68058 41.87994)
CVCA Street Lighting Improvements,CDOT,Public Infrastructure,"2000-2100  East 85th St, 2000-2050  East 86th St, 8442-8700  South Chappel Av",Stony Island Burnside,T-054,Stony Island Burnside,T-054,Design and installation of new residential street lighting.,600000,600000,1,09/26/2023,Approved,POINT (-87.57456 41.74122)
Raby HS - BAS,CPS,Schools,3545 West Fulton Bv,Chicago Central Park,T-115,Chicago Central Park,T-115,"This school have an obsolete and failing Building Automation System that controls the environmental mechanical system in the buildings.Â  This project would include upgrading, repairing and re-certifying the system.",275000,275000,1,10/19/2021,Approved,POINT (-87.7154 41.88629)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
4715 N Western Apartments,DOH,Affordable Housing,4715 North Western Av,Western Av North,T-084,Western Av North,T-084,51 unit mixed use affordable development adjacent to the Western Avenue brown line station.,12000000,36834060,0.33,08/23/2022,Approved,POINT (-87.68884 41.96704)
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,79th Vincennes,T-155,79th Vincennes,T-155,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,71600,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
Complete Streets - Southwest Side,CDOT,Public Infrastructure,,Stevenson Brighton,T-149,Stevenson Brighton,T-149,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",870000,10810000,0.08,11/19/2024,Approved,POINT (-87.63245 41.88425)
Westside Residential Lighting,CDOT,Public Infrastructure,,Midwest,T-095,Midwest,T-095,"Survey, design and installation of a staggered residential LED Smart lighting system including new poles, underground conduits, luminaires , controllers and restoration. Projects will be grouped together and full lighting circuits will be replaced.",2687000,3791000,1,03/22/2022,Approved,POINT (-87.63245 41.88425)
West Pullman Library,AIS,Municipal Facilities,830 West 119th St,119th Halsted,T-114,119th Halsted,T-114,"New finishes, teen room, data/power, new lighting, remove/replace condensing units, boilers, BAS",1700000,1700000,1,12/15/2020,Referred Back to Department,POINT (-87.64311 41.6778)
Ashland TSM: Harrison to Washington - Additional Funding Request,CDOT,Public Infrastructure,1-600  South Ashland Av,Central West,T-086,Central West,T-086,Additional funding request of $1M for the construction of the signal modernization project on Ashland Ave from Harrison to Washington.,1000000,8600000,0.12,08/27/2024,Approved,
West 40th Street Improvements,CDOT,Public Infrastructure,4000-4300 West 40th St,Stevenson Brighton,T-149,Stevenson Brighton,T-149,"Sidewalk, curb and gutter, and street resurfacing improvements on an industrial roadway.",2550000,2550000,1,04/26/2022,Approved,POINT (-87.72459 41.81938)
Whittier ES â€“ Elevator,CPS,Schools,1900 West 23rd St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Installing a new elevator to provide equitable access throughout the building for people with disabilities.,2500000,2500000,1,04/25/2023,Approved,POINT (-87.67389 41.8504)
Small Business Improvement Fund,DPD,Economic Development,Various,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,750000,750000,1,10/20/2020,Approved,
TIF Works - Funding Request,DPD,Economic Development,Various,Midway Ind Corr,T-089,Midway Ind Corr,T-089,Soft Launch of Training Reimbursement Grant. Initial Focus on 10 TIF districts with industrial corridors and/or heavy manufacturing presence.,300000,300000,1,08/22/2023,Approved,
Chicago Center for Green Technology - Building Repairs & ADA Accessibility,AIS,Municipal Facilities,445 North Sacramento Av,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"Project scope of work includes repairs to windows, elevators, BAS, flooring and ADA accessibility upgrades.",825000,825000,1,07/09/2019,Approved,POINT (-87.70112 41.88967)
SBIF Ordinances 2024,DPD,Economic Development,,95th Western,T-009,95th Western,T-009,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Roseland Michigan,T-113,Roseland Michigan,T-113,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",332635,332635,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
SACRED Apartments,DOH,Affordable Housing,9230 South Burley Av,South Chicago,T-093,South Chicago,T-093,Sustainable Affordable Commercial Real Estate Development (SACRED). All 81 units will be tax credit eligible with 60% of the units targeted to households at or below 50% of the area median income. 17 of the 81 units will be for formerly homeless.,5000000,33795591,0.15,05/24/2022,Approved,POINT (-87.54557 41.72733)
Bus Priority Zone Program: Route 49/x49,CDOT,Public Infrastructure,,Western Ogden,T-048,Western Ogden,T-048,"This project will make improvements to Western Ave from Roosevelt Rd to the viaduct just south of Ogden Ave to reduce slow zones, enabling faster and more reliable rides for Route 49 and x49 bus riders.",660000,660000,1,03/10/2020,Approved,POINT (-87.63245 41.88425)
Fire Department: Engine Company 83,AIS,Municipal Facilities,1200 West Wilson Av,Wilson Yard,T-110,Wilson Yard,T-110,"Interior renovations including LED lighting, new flooring, electrical upgrades and restroom renovations; exterior renovations 
including new driveway, windows, and OH doors; MEP renovations including central air, HVAC and Fire and life safety upgrades.",1500000,1500000,1,01/21/2020,Approved,POINT (-87.66012 41.96538)
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Bryn Mawr Broadway,T-013,Bryn Mawr Broadway,T-013,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",1239209,1239209,1,04/07/2020,Referred Back to Department,
Chicago Vocational HS - BAS,CPS,Schools,2100 East 87th St,Stony Island Burnside,T-054,Stony Island Burnside,T-054,"This school has an obsolete and failing Building Automation System (BAS) that controls the environmental mechanical systems In the building.  This project would be to upgrade, repair and re-certify the system from a controls standpoint.",238000,238000,1,07/27/2021,Approved,POINT (-87.57251 41.73711)
S.Kostner Ave. Under CSX RR Viaduct Clearance Improvement,CDOT,Public Infrastructure,1030 S Kostner Ave,Roosevelt Cicero,T-038,Roosevelt Cicero,T-038,Lowering the pavement under the viaduct by up to 1.5â€™ in order to obtain a desirable clearance of 14â€™-6â€. The lowering of the pavement will require relocation of the existing infrastructure.,2000000,9500000,0.21,09/15/2020,Approved,POINT (-87.73505 41.86818)
Laramie Bank RFP,DPD,Economic Development,5200-5234 West Chicago Av,Austin Commercial,T-156,Austin Commercial,T-156,"DPD needs to obtain quick take, acquisition authority to acquire four privately owned parcels, that will be redeveloped as part of the Laramie Bank RFP. City Council previously approved acquisition authority but DPD needs  quick take authority.",1040000,1040000,1,06/22/2021,Approved,POINT (-87.75585 41.89494)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Madden Wells,T-126,Madden Wells,T-126,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1000000,1000000,1,08/06/2019,Approved,POINT (-87.63245 41.88425)
SBIF Funding Recommendation,DPD,Economic Development,,Galewood Armitage,T-071,Galewood Armitage,T-071,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Wilson Yard,T-110,Wilson Yard,T-110,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",185740,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Pulaski Corridor,T-069,Pulaski Corridor,T-069,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
Small Business Improvement Fund,DPD,Economic Development,Various,Belmont Cicero,T-082,Belmont Cicero,T-082,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,500000,500000,1,12/03/2019,Approved,
2835 W Devon Alley Resurfacing,CDOT,Public Infrastructure,2835 West Devon Av,Devon/Western,T-076,Devon/Western,T-076,"The project consists of resurfacing the alley bound by Devon, Rosemont, Francisco, and Mozart.",50000,50000,1,08/23/2022,Approved,POINT (-87.70094 41.99755)
Nichols Park,Park District,Parks and Open Spaces,1355 East 53rd St,53rd Street,T-105,53rd Street,T-105,Facility rehab and site improvements,2000000,2000000,1,11/17/2020,Approved,POINT (-87.59289 41.7995)
Policy Kings,DPD,Economic Development,353 East 51st St,47th State,T-136,47th State,T-136,"Renovation of two existing buildings to house two retailstores (363 E 51st St) and one shared kitchen dining concept(353 E 51st St), plus renovation of six residential units on 2nd and 3rd fl oors of 363 E 51st Street.",2225000,3882609,0.57,03/22/2022,Approved,POINT (-87.61724 41.80209)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,North Pullman,T-166,North Pullman,T-166,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",272945,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,33163,33163,1,04/07/2020,Approved,
Kolin-Chicago Traffic Signal,CDOT,Public Infrastructure,800 North Kolin Av,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,This project will install a permanent traffic signal at the intersection of Kolin Ave and Chicago Ave. This intersection serves the newly constructed Joint Public Safety Training Campus and CTA Chicago Ave Garage.,800000,800000,1,04/25/2023,Approved,POINT (-87.73469 41.89536)
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,71st Stony Island,T-060,71st Stony Island,T-060,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,76549,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
2023 Underpass Rehab Program,CDOT,Public Infrastructure,400  North Waller Av,Madison Austin,T-075,Madison Austin,T-075,"Construction of 9 underpass rehabilitation projects consisting of pavement reconstruction, curb and gutter and sidewalk replacement as well as any necessary drainage improvements and lighting upgrades.",650000,4400000,0.15,04/25/2023,Approved,POINT (-87.76839 41.88705)
CPD Mounted Patrol Unit - Building Improvements,AIS,Municipal Facilities,7059 S South Shore Dr,71st Stony Island,T-060,71st Stony Island,T-060,"Concrete work in horse stalls, masonry work to exterior elevations, roof improvements, exhaust and dehumidification installation, and fire alarm installation.",1500000,1500000,1,10/01/2019,Approved,POINT (-87.56647 41.76661)
Canal Street Bridge Sidewalk Replacement,CDOT,Public Infrastructure,2050  South Canal St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Replacement of the timber sidewalk with fiberglass which is longer lasting and replace railing to meet current standards.,2400000,2400000,1,07/26/2022,Approved,POINT (-87.63861 41.85425)
Environmental Remediation - 4512 S Halsted,AIS,Municipal Facilities,4512  South Halsted St,Stockyards SEQ,T-045,Stockyards SEQ,T-045,The proposed project includes the treatment and excavation of contaminated soil containing hazardous levels of lead and total petroleum hydrocarbons from the site.,900000,900000,1,07/26/2022,Approved,POINT (-87.64561 41.81176)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Stony Island Burnside,T-054,Stony Island Burnside,T-054,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",136095,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
15th Ward Stockyards Area Sidewalk Improvements,CDOT,Public Infrastructure,4200-4700  South Halsted St,Stockyards SEQ,T-045,Stockyards SEQ,T-045,Sidewalk improvements on various streets in the 15th Ward.,3900000,3900000,1,07/23/2024,Approved,POINT (-87.64687 41.81622)
Thrive Englewood,DOH,Affordable Housing,6321 South Sangamon St,Englewood Mall,T-021,Englewood Mall,T-021,"This master site contains two buildings totaling 120 units contemplated over two phases. The current project, PHASE I,  will consist of 61 units intended as workforce housing and will include two ground floor 1-bedroom live/work units.",5000000,30894892,0.16,05/24/2022,Approved,POINT (-87.64837 41.77908)
2023 Arterial Resurfacing Program,CDOT,Public Infrastructure,11500-130000  South Doty Av East,Lake Calumet,T-103,Lake Calumet,T-103,Pedestrian safety improvements at various locations throughout Chicago.,6000000,10274000,0.58,04/25/2023,Approved,POINT (-87.60333 41.68573)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Fullerton/Milwaukee,T-087,Fullerton/Milwaukee,T-087,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",4000000,4000000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Renaissance Apts. â€“ TRC,DOH,Affordable Housing,3745 South Wabash Av,Bronzeville,T-061,Bronzeville,T-061,Rehab of a 101 unit affordable SRO building with 100% Section PBV.,5313837,6776737,0.78,05/24/2022,Approved,POINT (-87.62484 41.82612)
TIF Works Funding Requests 2024,DPD,Economic Development,,Pulaski Corridor,T-069,Pulaski Corridor,T-069,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,250000,250000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Greater SW Ind Corr East,T-066,Greater SW Ind Corr East,T-066,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",41931,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
SBIF Ordinances 2024,DPD,Economic Development,,Avondale,T-167,Avondale,T-167,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,500000,500000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Marshall HS - Chimney Stack Reduction,CPS,Schools,3250 W Adams St,Midwest,T-095,Midwest,T-095,The chimney stack reduction program is a district supported initiative to reduce the height of failed and deteriorated CPS chimneys.,500000,500000,1,09/15/2020,Under Further Review,POINT (-87.70741 41.87838)
Frazier Prosp ES - Roof / Masonry,CPS,Schools,4027 West Grenshaw St,Midwest,T-095,Kinzie Industrial Corridor,T-052,"Provide exterior renovations including window replacement, roof replacement, targeted masonry repairs and interior finishes due to water infiltration.",6000000,7600000,0.79,10/19/2021,Approved,POINT (-87.72624 41.86707)
Hanson Park ES - Windows,CPS,Schools,5411 West Fullerton Av,Galewood Armitage,T-071,Galewood Armitage,T-071,Provide an exterior envelope renovation including window replacement at main building.,1660000,1660000,1,04/26/2022,Approved,POINT (-87.7622 41.92405)
LeClaire Courts Infrastructure Improvements,CDOT,Public Infrastructure,4458  South Cicero Av,Cicero Stevenson,T-185,Cicero Stevenson,T-185,"Construction Engineering/Management for the public infrastructure improvements, including roads, sidewalks,signals, lighting, sewer, earthwork, and landscaping, associated with the LeClaire Courts Redevelopment Project.",400000,17000000,0.02,09/24/2024,Approved,POINT (-87.74336 41.81197)
SBIF Funding Recommendation,DPD,Economic Development,,95th Western,T-009,95th Western,T-009,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,300000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
South Shore HS - BAS,CPS,Schools,1955 East 75th St,71st Stony Island,T-060,71st Stony Island,T-060,"This school has an obsolete and failing Building Automation System (BAS) that controls the environmental mechanical systems In the building.  This project would be to upgrade, repair and re-certify the system from a controls standpoint.",390510,390510,1,07/27/2021,Approved,POINT (-87.57612 41.75849)
Lake Calumet Street Resurfacing Improvements,CDOT,Public Infrastructure,12200-12600 South Stony Island Av,Lake Calumet,T-103,Lake Calumet,T-103,"Resurfacing and associated ADA ramps for residential and industrial streets on Stony Island, 104th St, Muskegon, and 107th St",942000,1017000,0.97,12/14/2021,Approved,POINT (-87.57534 41.67363)
Fullerton Ave Streetscape - Additional Funding Request,CDOT,Public Infrastructure,5300-6400 West Fullerton Av,Diversey Narragansett,T-129,Diversey Narragansett,T-129,Additional funding to award project following increased budget bids. Full streetscape improvements for Fullerton Ave.,733600,11180000,0.23,08/23/2022,Approved,POINT (-87.78586 41.92388)
Corridor Manager Program 2025,DPD,Economic Development,,Austin Commercial,T-156,Austin Commercial,T-156,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,100000,100000,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
CVCA - Pool & Aquatic Interior Renovations,CPS,Schools,2100  East 87th St,Stony Island Burnside,T-054,Stony Island Burnside,T-054,"Interior renovations at CVCA's aquatic center to make pool operable and meet ADA requirements including pool deck repairs, locker room improvements and upgrades, new pool equipment and associated MEP improvements.",5000000,7300000,0.68,11/28/2023,On hold,POINT (-87.57251 41.73711)
Kenwood Avenue and Dante Avenue Lighting Improvements (77th to 79th),CDOT,Public Infrastructure,"1315-1330  East 78th St, 7740-7800  South Dante Av, 7800-7900  South Kenwood Av",71st Stony Island,T-060,71st Stony Island,T-060,Design and construction of new residential street lighting.,300000,300000,1,09/26/2023,Approved,POINT (-87.59183 41.7531)
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",2669499,2669499,1,04/07/2020,Referred Back to Department,
Peterson/Pulaski Infrastructure Improvements,CDOT,Public Infrastructure,5830-6000  North Rogers Av; 5600  North Tripp Av; 4000  West Virginia Av,Peterson Pulaski,T-091,Peterson Pulaski,T-091,"Improvements to 5830 N Rodger Ave, 5600 N Tripp Ave and 4000 W Victoria St including, street resurfacing, sidewalk reconstruction, and curb reconstruction.",1150000,1150000,1,03/23/2021,Approved,
Pulaski Corridor TIF Study,DPD,"Plans, Studies, and Administration",,Pulaski Corridor,T-069,Pulaski Corridor,T-069,Redevelopment planning study for the TIF area,300000,300000,1,06/22/2021,Approved,POINT (-87.63245 41.88425)
"Invest South/West 1,000 Homes Initiative â€“ North Lawndale Phase",DOH,Affordable Housing,,Ogden Pulaski,T-161,Midwest,T-095,"The City, through the Department of Housing (DOH), and in partnership with key community organizations, is undertaking an initiative to build and rehab 1,000 new homeownership units across Chicagoâ€™s South and West side communities.",2915000,26800000,0.2,09/15/2020,Approved,POINT (-87.63245 41.88425)
Otis ES - Chimney/Stack Reduction,CPS,Schools,525 North Armour St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Chimney reduction and stabilization,750000,750000,1,04/20/2021,Approved,POINT (-87.66553 41.89166)
Western Avenue Corridor Study Phase 2,DPD,"Plans, Studies, and Administration",,Western Av South,T-085,Western Av South,T-085,"Expanded community engagement and additional emphasis and coordination for near-term mobility, development, public realm, and policy interventions due to Covid-19 impacts.",22500,90000,1,05/25/2021,Approved,POINT (-87.63245 41.88425)
